0,1,2,3,4
0.73809516,0.509804,0.56338024,0.42767292,0.43650797
0.46428573,0.60784316,0.49295774,0.3679245,0.1825397
0.46428573,0.60784316,0.7042253,0.47484273,0.16666669
0.702381,0.41176462,0.35211268,0.34276727,0.34920636
0.5952382,0.60784316,0.56338024,0.6415094,0.25396827
0.5595238,0.60784316,0.7042253,0.41509432,0.20634922
0.6428572,0.60784316,0.49295774,0.24213837,0.22222224
0.2976191,0.31372547,0.28169015,0.10377358,0.06349206
0.5000001,0.60784316,0.6338028,0.22327043,0.11904763
0.39285707,0.41176462,0.4225352,0.47484273,0.11111112
0.26190484,0.31372547,0.35211268,0.41509432,0.06349206
0.4404763,0.60784316,0.49295774,0.14150943,0.16666669
0.52380955,0.509804,0.4225352,0.22012578,0.5873016
0.25,0.21568632,0.35211268,0.23899372,0.095238104
0.39285707,0.41176462,0.28169015,0.4496855,0.15873016
0.66666687,0.60784316,0.77464795,0.3742138,0.1825397
0.5357144,0.509804,0.49295774,0.21069182,0.13492064
0.5952382,0.509804,0.56338024,0.33647797,0.19047621
0.26190484,0.11764693,0.28169015,0.38679242,0.40476194
0.5595238,0.509804,0.49295774,0.106918246,0.0873016
0.6904762,0.60784316,0.35211268,0.21383648,0.11904763
0.52380955,0.7058823,0.56338024,0.16037735,0.095238104
0.77380955,0.60784316,0.6338028,0.25471696,0.06349206
0.5476191,0.509804,0.6338028,0.20754717,0.15079366
0.2976191,0.31372547,0.35211268,0.088050306,0.11904763
0.9166666,0.509804,0.56338024,0.37735847,0.7539683
0.36904764,0.7058823,0.6338028,0.46226412,0.1746032
0.6428572,0.509804,0.4225352,0.26415092,0.3730159
0.27380955,0.31372547,0.4225352,0.30188677,0.11904763
0.73809516,0.60784316,0.7042253,0.5125786,0.34920636
0.42857146,0.21568632,0.35211268,0.11949685,0.055555556
0.30952382,0.31372547,0.35211268,0.31132072,0.07142858
0.30952382,0.7058823,0.56338024,0.8962264,0.45238099
0.57142854,0.41176462,0.35211268,0.46540877,0.54761904
0.5595238,0.31372547,0.49295774,0.2798742,0.07142858
0.5476191,0.60784316,0.6338028,0.34905657,0.10317461
0.20238101,0.41176462,0.4225352,0.22641508,0.15079366
0.35714293,0.7058823,0.4225352,0.09119497,0.15079366
0.5833334,0.60784316,0.6338028,0.34276727,0.5
0.6071429,0.60784316,0.6338028,0.7924528,0.7936508
0.5119047,0.21568632,0.21126762,0.2924528,0.055555556
0.797619,0.509804,0.6338028,0.6761006,0.38888893
0.5119047,0.7058823,0.6338028,0.4968553,0.43650797
0.41666675,0.31372547,0.35211268,0.7169811,0.14285715
0.5595238,0.60784316,0.56338024,0.46226412,0.095238104
0.35714293,0.41176462,0.6338028,0.081761,0.07936509
0.66666687,0.80392146,0.7042253,0.3616352,0.53968257
0.72619057,0.7058823,0.7042253,0.22327043,0.23809525
0.66666687,0.60784316,0.7042253,0.38679242,0.31746033
0.5476191,0.90196085,0.98591554,0.48742136,0.12698413
